Country Name,"Country Code","Series Name","Series Code",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,"AFG","GDP (current US$)","NY.GDP.MKTP.CD","15856678596.148","17805113118.8938","19907317065.6666","20146404996.223","20497126770.1335","19134211763.859","18116562464.9088","18753469630.2586","18053228578.8878","18799450742.7823"
Albania,"ALB","GDP (current US$)","NY.GDP.MKTP.CD","11926922828.9911","12890764531.3284","12319830437.3467","12776220507.0162","13228147516.1168","11386850129.8411","11861199830.8396","13019689336.6919","15156432309.8977","15400242874.8812"
Algeria,"DZA","GDP (current US$)","NY.GDP.MKTP.CD","161207270185.25","200013052199.2","209058991952.125","209755003250.664","213810024944.464","165979279263.174","160034163871.455","170097014589.134","174910878623.049","171767403748.19"
American Samoa,"ASM","GDP (current US$)","NY.GDP.MKTP.CD","573000000","570000000","640000000","638000000","643000000","673000000","671000000","612000000","639000000","648000000"
Andorra,"AND","GDP (current US$)","NY.GDP.MKTP.CD","3449966856.68832","3629203786.19154","3188808942.56713","3193704343.20627","3271808157.30038","2789870187.50693","2896679211.86628","3000180750.11297","3218316013.22626","3155065487.51819"
Angola,"AGO","GDP (current US$)","NY.GDP.MKTP.CD","83799496611.2004","111789686464.441","128052853643.106","136709862831.194","145712200312.505","116193649124.151","101123851090.455","122123822333.59","101353230784.594","89417190341.2533"
Antigua and Barbuda,"ATG","GDP (current US$)","NY.GDP.MKTP.CD","1148700000","1137637037.03704","1199948148.14815","1181448148.14815","1249733333.33333","1336692592.59259","1436585185.18519","1467977777.77778","1605944444.44444","1687533333.33333"
Argentina,"ARG","GDP (current US$)","NY.GDP.MKTP.CD","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557531376217.967","643628665302.155","524819742918.669","451932356085.842"
Armenia,"ARM","GDP (current US$)","NY.GDP.MKTP.CD","9260284937.79781","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7542","10553337672.9872","10546135160.031","11527458565.7334","12457941907.0333","13619291361.2814"
Aruba,"ABW","GDP (current US$)","NY.GDP.MKTP.CD","2390502793.29609","2549720670.39106","2534636871.50838","2727849720.67039","2790849162.01117","2962905027.93296","2983636871.50838","3092430167.59777","3202188606.92893","NA"
Australia,"AUS","GDP (current US$)","NY.GDP.MKTP.CD","1147589183475.73","1397907916789.9","1546508558465.66","1576335282651.07","1467504819608.92","1350534154255.76","1206685107002.47","1326882872011.46","1428529571351.06","1391952510370.48"
Austria,"AUT","GDP (current US$)","NY.GDP.MKTP.CD","391892746544.69","431120310088.82","409425234155.263","430068712971.867","441996131736.508","381817565893.574","395568644341.038","416230497429.163","454945881027.378","445011872704.47"
Azerbaijan,"AZE","GDP (current US$)","NY.GDP.MKTP.CD","52909294791.9262","65951627200.2026","69683935845.2139","74164435946.4627","75244294275.1498","53074370486.0433","37867518957.1975","40865558912.3867","47112941176.4706","48174235294.1176"
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","10095760000","10070450000","10720500000","10494600000","11142900000","11890600000","11992600000","12359700000","12837800000","13164400000"
Bahrain,"BHR","GDP (current US$)","NY.GDP.MKTP.CD","25713271276.5957","28776595744.6809","30749308510.6383","32539468085.1064","33387712765.9574","31050638297.8723","32234973404.2553","35473776595.7447","37801462765.9574","38652579787.234"
Bangladesh,"BGD","GDP (current US$)","NY.GDP.MKTP.CD","115279077465.226","128637938711.386","133355749482.478","149990451022.29","172885454931.453","195078678697.23","221415188000.475","249710922462.309","274038973437.275","302571320445.75"
Barbados,"BRB","GDP (current US$)","NY.GDP.MKTP.CD","4530000000","4657500000","4610000000","4677000000","4696500000","4715000000","4830000000","4978000000","5086500000","5209000000"
Belarus,"BLR","GDP (current US$)","NY.GDP.MKTP.CD","57222490768.7143","61757788944.7236","65685102554.8759","75527984234.2342","78813839984.3506","56454734396.5842","47722657820.6675","54726595249.1849","60031262269.3365","64409647193.8044"
Belgium,"BEL","GDP (current US$)","NY.GDP.MKTP.CD","480951629493.033","522645519183.591","496181260258.3","521642714407.843","534678075827.361","462149679343.822","475739588764.759","501522868356.441","543008499294.079","535288715239.999"
Belize,"BLZ","GDP (current US$)","NY.GDP.MKTP.CD","1377177100","1460797903.23406","1522897506.07849","1579411253.00514","1667335060.96064","1721700991.46912","1789304087.78561","1858529676.71857","1915899786.96407","1982518540.6134"
Benin,"BEN","GDP (current US$)","NY.GDP.MKTP.CD","9535344283.47295","10693321953.6355","11141358945.1349","12517845732.2095","13284528654.0574","11388160958.249","11821066152.5979","12701654743.2149","14262407011.5254","14391686632.7821"
Bermuda,"BMU","GDP (current US$)","NY.GDP.MKTP.CD","6634526000","6312691000","6378188000","6465756000","6413988000","6654541000","6899911000","7142316000","7224329000","7484113000"
Bhutan,"BTN","GDP (current US$)","NY.GDP.MKTP.CD","1547991317.81183","1777101316.67756","1781281281.57912","1756215665.09323","1907090813.45906","2003598212.99135","2158972129.00307","2450364928.07302","2446866404.93058","2535657068.96575"
Bolivia,"BOL","GDP (current US$)","NY.GDP.MKTP.CD","19649631314.0482","23963033430.5954","27084497482.8616","30659338880.3786","32996188012.6821","33000198248.3362","33941126200.0606","37508642165.3366","40287647930.4761","40895322843.7851"
Bosnia and Herzegovina,"BIH","GDP (current US$)","NY.GDP.MKTP.CD","17176781045.5967","18644723853.5807","17221192466.1918","18172335776.3301","18560861388.6402","16219819017.3607","16914287348.9819","18079075770.6713","20177409351.4329","20201323260.0733"
Botswana,"BWA","GDP (current US$)","NY.GDP.MKTP.CD","12786654498.3514","15351972361.1477","14380004175.1194","14901750991.2012","15654660710.108","13578754072.4652","15082578064.8002","16088437675.1648","16914245098.0392","16593720655.6402"
Brazil,"BRA","GDP (current US$)","NY.GDP.MKTP.CD","2208838108577.09","2616156606666.62","2465228293894.01","2472819362216.69","2456043766028.73","1802211999538.68","1795693265810.23","2063514688761.98","1916933708381.89","1877824273720.78"
British Virgin Islands,"VGB","GDP (current US$)","NY.GDP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Brunei Darussalam,"BRN","GDP (current US$)","NY.GDP.MKTP.CD","13707370737.0737","18525319977.7407","19047940300.8963","18093829923.2737","17098342541.4365","12930394937.8137","11400854267.7188","12128104859.1498","13567351175.0315","13469422958.5105"
Bulgaria,"BGR","GDP (current US$)","NY.GDP.MKTP.CD","50682061053.2016","57678241023.818","54300857424.4415","55810138436.4821","57082011260.3446","50781996712.7635","53953897624.4344","59199447421.4924","66363422450.2112","68915416141.9576"
Burkina Faso,"BFA","GDP (current US$)","NY.GDP.MKTP.CD","10109618964.2848","12080296644.0643","12561016091.4673","13444301139.1384","13943016923.9017","11832159275.603","12833363370.174","14106956830.0857","15890065019.7634","16178162030.0694"
Burundi,"BDI","GDP (current US$)","NY.GDP.MKTP.CD","2032135246.50004","2235820867.82743","2333308099.46249","2451625332.74584","2705783272.07443","3104394858.11518","2732808556.84172","2748180473.71333","2668495742.88443","2631434363.22693"
Cabo Verde,"CPV","GDP (current US$)","NY.GDP.MKTP.CD","1664310769.55229","1865915544.12445","1741809808.96442","1850470042.43281","1859898513.26858","1596800287.16405","1662998677.88425","1768319144.00218","1966503222.76759","1981845740.70615"
Cambodia,"KHM","GDP (current US$)","NY.GDP.MKTP.CD","11242275198.9783","12829541141.0127","14054443213.4639","15227991395.2201","16702610842.4025","18049954289.4229","20016747754.0192","22177200511.5811","24571753583.4922","27089389786.979"
Cameroon,"CMR","GDP (current US$)","NY.GDP.MKTP.CD","27507499709.071","30630912184.7789","30155064574.0734","33728622819.0912","36386546917.6861","32210232911.6626","33814337900.2831","36098550141.5897","39973839064.6084","39670977332.7348"
Canada,"CAN","GDP (current US$)","NY.GDP.MKTP.CD","1617343367486.26","1793326630174.52","1828366481521.6","1846597421834.98","1805749878439.94","1556508816217.14","1527994741907.43","1649265644244.09","1721853332869.63","1741576393905.98"
Cayman Islands,"CYM","GDP (current US$)","NY.GDP.MKTP.CD","4156990759.63038","4186223808.95236","4291159006.36025","4405954638.18553","4563017880.71523","4708336733.46934","4909498979.9592","5166467298.69195","5522625585.0234","5935769350.77403"
Central African Republic,"CAF","GDP (current US$)","NY.GDP.MKTP.CD","2142591375.85053","2437982839.63072","2510126699.05356","1691544192.38242","1894813504.52945","1695825708.45604","1825018190.85071","2072349794.23301","2220978978.17342","2220307368.69593"
Chad,"TCD","GDP (current US$)","NY.GDP.MKTP.CD","10668102734.8132","12172309522.6171","12367363677.6199","12953535495.8781","13940768065.6063","10950392219.9104","10097778353.7651","10000395242.1457","11239167048.4916","11314951342.7807"
Channel Islands,"CHI","GDP (current US$)","NY.GDP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Chile,"CHL","GDP (current US$)","NY.GDP.MKTP.CD","218537551220.071","252251992029.442","267122320056.702","278384332694.359","260541637327.864","243919079437.373","250440149690.889","277034675515.671","297571693064.212","279385487344.526"
China,"CHN","GDP (current US$)","NY.GDP.MKTP.CD","6087163874510.73","7551500124197.17","8532229986993.65","9570406235659.64","10475682920597.7","11061553079871.5","11233276536744.7","12310409370894.2","13894817549380.3","14279937467431"
Colombia,"COL","GDP (current US$)","NY.GDP.MKTP.CD","286563105192.457","334943871931.746","370921320483.842","382116126448.555","381112119657.446","293481748240.779","282825009887.458","311883730690.129","334198214706.209","323429888934.257"
Comoros,"COM","GDP (current US$)","NY.GDP.MKTP.CD","907978723.547592","1023086183.79822","1015843368.79008","1116224161.07781","1149587651.69395","966029542.038859","1012835518.26037","1077439662.5798","1188797574.94753","1192559739.37288"
"Congo, Dem. Rep.","COD","GDP (current US$)","NY.GDP.MKTP.CD","21565720044.4634","25839749198.8233","29306235826.3885","32679745297.6453","35909040265.9328","37917704900.0794","37134799974.5225","38019265625.8845","47146004586.6824","50400747050.496"
"Congo, Rep.","COG","GDP (current US$)","NY.GDP.MKTP.CD","13135580695.2473","15634897272.7645","17693924573.2499","17953617927.2376","17889079957.8792","11885478502.1168","10215989995.0073","11090177747.1315","13670036995.9959","12750339022.9512"
Costa Rica,"CRI","GDP (current US$)","NY.GDP.MKTP.CD","37658614803.2919","42762617081.6142","47231651862.8224","50949672205.8222","52016408950.8398","56441917653.0156","58847016044.8244","60516043590.1924","62420165099.7301","64072870931.603"
Cote d'Ivoire,"CIV","GDP (current US$)","NY.GDP.MKTP.CD","34936305296.8834","36693712824.7812","36302305578.306","42760237561.3995","35363533865.7271","45814637971.4745","47964234560.0514","51588158717.5348","58011466450.8643","58539424929.7248"
Croatia,"HRV","GDP (current US$)","NY.GDP.MKTP.CD","60426018629.2992","63169910822.1285","57192346923.335","58889082315.336","58330289756.6914","50163192883.1515","52295158344.2544","56214427431.2","62247874948.8225","62246206340.5469"
Cuba,"CUB","GDP (current US$)","NY.GDP.MKTP.CD","64328000000","68990000000","73141000000","77148000000","80656000000","87133000000","91370000000","96851000000","100050000000","103428000000"
Curacao,"CUW","GDP (current US$)","NY.GDP.MKTP.CD","NA","3038699608.93855","3131096089.38547","3147616201.11732","3158406033.51955","3151910782.1229","3122287932.96089","3116610111.73184","3127908044.69274","3101787709.49721"
Cyprus,"CYP","GDP (current US$)","NY.GDP.MKTP.CD","25732432719.0773","27565469097.9955","24978513426.6992","23900872625.8467","23156850006.6427","19842404304.8929","20953442550.3653","22870833709.8961","25522671232.8767","25758357774.5438"
Czech Republic,"CZE","GDP (current US$)","NY.GDP.MKTP.CD","209069940963.177","229562733398.948","208857719320.649","211685616592.931","209358834156.329","188033050459.881","196272068576.338","218628940951.675","248950103352.137","252498032247.163"
Denmark,"DNK","GDP (current US$)","NY.GDP.MKTP.CD","321995279401.502","344003137611.271","327148943812.137","343584391647.927","352993631617.708","302673070846.857","313115929314.339","332121063806.391","356841216410.068","347561349210.979"
Djibouti,"DJI","GDP (current US$)","NY.GDP.MKTP.CD","1128611700.3618","1239144501.77525","1353632941.5207","2042817162.85639","2214679081.25658","2430274292.2896","2603540256.91955","2751445573.68009","3012803457.10411","3324615549.09099"
Dominica,"DMA","GDP (current US$)","NY.GDP.MKTP.CD","493825925.925926","501025925.925926","485996296.296296","498296296.296296","520207407.407407","540737037.037037","576229629.62963","519837037.037037","550622222.222222","611537037.037037"
Dominican Republic,"DOM","GDP (current US$)","NY.GDP.MKTP.CD","53860175555.9961","58029750745.6495","60681537195.7996","62682163837.347","67179914026.9623","71164825256.6849","75704720189.5607","79997975621.8654","85555378042.8196","88941299733.5018"
Ecuador,"ECU","GDP (current US$)","NY.GDP.MKTP.CD","69555367000","79276664000","87924544000","95129659000","101726331000","99290381000","99937696000","104295862000","107562008000","108108009000"
"Egypt, Arab Rep.","EGY","GDP (current US$)","NY.GDP.MKTP.CD","218983666061.706","235989672977.625","279116666666.667","288434108527.132","305595408895.265","329366576819.407","332441717791.411","235733695652.174","249712999437.254","303080865603.645"
El Salvador,"SLV","GDP (current US$)","NY.GDP.MKTP.CD","18447920000","20283780000","21386150000","21990960000","22593470000","23438240000","24191430000","24979190000","26020850000","26896660000"
Equatorial Guinea,"GNQ","GDP (current US$)","NY.GDP.MKTP.CD","16314443428.9408","21357343681.8966","22388344123.9916","21948834290.3538","21765453087.4795","13185496881.4055","11240808846.6928","12200913887.6419","13097012189.3995","11417278044.9859"
Eritrea,"ERI","GDP (current US$)","NY.GDP.MKTP.CD","1589515447.15447","2065001626.01626","NA","NA","NA","NA","NA","NA","NA","NA"
Estonia,"EST","GDP (current US$)","NY.GDP.MKTP.CD","19523477325.6235","23183616045.5168","23020466784.6112","25108615091.9884","26598657880.5486","22881558191.8523","24056487770.898","26857880621.935","30474612057.4484","31045591753.4901"
Eswatini,"SWZ","GDP (current US$)","NY.GDP.MKTP.CD","4438778424.30203","4820499924.2539","4886533032.88672","4597532029.70451","4422968339.67584","4063245671.29285","3816022046.82656","4402969225.92165","4665420238.51784","4495679480.96886"
Ethiopia,"ETH","GDP (current US$)","NY.GDP.MKTP.CD","29933790334.3418","31952763089.33","43310721414.0829","47648211133.2183","55612228233.5179","64589334978.8013","74296618481.0882","81770791970.982","84269348327.3454","95912590628.1412"
Faroe Islands,"FRO","GDP (current US$)","NY.GDP.MKTP.CD","2320424601.26954","2490807830.57351","2366301251.61847","2627049837.08135","2850743875.2784","2518096285.61661","2738832687.13698","2899226097.62377","3051341335.9516","3126293219.77989"
Fiji,"FJI","GDP (current US$)","NY.GDP.MKTP.CD","3140508835.9485","3774530615.65916","3972012570.53467","4190143206.25611","4856963229.83999","4682546863.08162","4930204229.72263","5353404422.08138","5581371847.61641","5496264766.37285"
Finland,"FIN","GDP (current US$)","NY.GDP.MKTP.CD","249181190476.369","275243697751.011","258304834621.605","271285280621.373","274497230802.958","234440080998.273","240607907010.383","255016517537.983","275580448365.235","268782471380.392"
France,"FRA","GDP (current US$)","NY.GDP.MKTP.CD","2642609548930.36","2861408170264.6","2683825225092.63","2811077725703.59","2852165760630.27","2438207896251.84","2471285607081.72","2588740901639.81","2789593979064.58","2728870246705.88"
French Polynesia,"PYF","GDP (current US$)","NY.GDP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gabon,"GAB","GDP (current US$)","NY.GDP.MKTP.CD","14372591916.4792","18210308748.2912","17170465294.0332","17595745653.3676","18203968001.8908","14383107714.0388","14023890620.3384","14929488770.7315","16867325126.5423","16874405839.7948"
"Gambia, The","GMB","GDP (current US$)","NY.GDP.MKTP.CD","1543292392.54605","1409694553.90934","1415006238.09509","1375608956.10386","1229460601.92174","1378176868.31568","1484579844.37143","1504909753.28746","1670670668.5939","1812529104.61923"
Georgia,"GEO","GDP (current US$)","NY.GDP.MKTP.CD","12243505582.6741","15107441446.7833","16488403076.3641","17189551520.9811","17627003454.7205","14953950557.4406","15141758566.7808","16242916915.7203","17599700090.762","17477255562.2583"
Germany,"DEU","GDP (current US$)","NY.GDP.MKTP.CD","3396354075663.73","3744408602683.94","3527344944139.83","3732743446218.92","3883920155292.26","3356235704119.75","3467498002104.33","3681732583768.5","3975347237442.99","3888326788627.44"
Ghana,"GHA","GDP (current US$)","NY.GDP.MKTP.CD","32197272797.2028","39337314809.9434","41270954737.2459","62823043706.4702","54782847752.5375","49406568432.6711","56165172898.8695","60406382898.5174","67299280679.563","68337537815.7703"
Gibraltar,"GIB","GDP (current US$)","NY.GDP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Greece,"GRC","GDP (current US$)","NY.GDP.MKTP.CD","296835346570.223","282625610892.477","242043151399.458","238839788899.338","235144949470.797","195604846736.019","193017030649.7","199350781053.185","211945897765.431","205144152830.847"
Greenland,"GRL","GDP (current US$)","NY.GDP.MKTP.CD","2503156060.52524","2684467375.71479","2609667673.71601","2684952726.88425","2842048997.77283","2499115623.00272","2707146783.13056","2851610655.92391","3040414278.02236","2982247278.61577"
Grenada,"GRD","GDP (current US$)","NY.GDP.MKTP.CD","771013259.259259","778655925.925926","799882259.259259","842620111.111111","911497407.407407","997007925.925926","1061640740.74074","1125685185.18519","1166523555.55556","1212694407.40741"
Guam,"GUM","GDP (current US$)","NY.GDP.MKTP.CD","4949000000","4984000000","5265000000","5399000000","5610000000","5799000000","5901000000","6013000000","6060000000","6364000000"
Guatemala,"GTM","GDP (current US$)","NY.GDP.MKTP.CD","40676432028.5934","46876114650.4996","49593961141.7484","52996540703.5943","57852399963.7878","62186186575.7433","66053725049.0138","71654134378.5299","73208583758.9105","77020015201.3201"
Guinea,"GIN","GDP (current US$)","NY.GDP.MKTP.CD","6853467857.61127","6785137172.77058","7638045254.42864","8376613843.27265","8778473614.54728","8794202443.67366","8595955581.21787","10324668266.5921","11857030336.5252","13513809258.2131"
Guinea-Bissau,"GNB","GDP (current US$)","NY.GDP.MKTP.CD","849878424.225986","1099818651.98114","989271229.637162","1046087417.96916","1054915645.19654","1048229629.42039","1179004941.22904","1350177127.5523","1504630120.99275","1439638443.38133"
Guyana,"GUY","GDP (current US$)","NY.GDP.MKTP.CD","3432913073.24154","3691384317.52178","4063089191.87525","4167800259.20888","4127659492.02031","4279840193.7046","4482697336.56174","4748174334.14044","4787636237.24043","5173760191.84652"
Haiti,"HTI","GDP (current US$)","NY.GDP.MKTP.CD","11859315078.7902","13008754110.8113","13708926466.2732","14902474090.615","15139264670.4225","14833154471.7456","13987693738.923","15035560372.6443","16455034352.7671","14785839382.9002"
Honduras,"HND","GDP (current US$)","NY.GDP.MKTP.CD","15729649158.5883","17588098574.7369","18400538859.3598","18372173380.7373","19618567249.5003","20833948799.5352","21566622849.6057","22975415842.4648","23900438563.7271","24915522849.1544"
"Hong Kong SAR, China","HKG","GDP (current US$)","NY.GDP.MKTP.CD","228637697575.04","248513617677.287","262629441493.476","275696879834.966","291459356985.337","309383627028.561","320837638328.846","341244161576.759","361691522612.745","363016373358.517"
Hungary,"HUN","GDP (current US$)","NY.GDP.MKTP.CD","132231134158.608","141999960209.893","128857370476.631","135732595721.853","141078984816.675","125210324613.14","128636108315.474","143136245596.988","160586833778.457","163526491433.29"
Iceland,"ISL","GDP (current US$)","NY.GDP.MKTP.CD","13751161917.7398","15221622925.9319","14751508133.5443","16125060515.3117","17867662177.8911","17517210519.0912","20793168030.9524","24728285177.4603","26267063757.5495","24857740445.0401"
India,"IND","GDP (current US$)","NY.GDP.MKTP.CD","1675615335600.56","1823049927771.46","1827637859135.7","1856722121394.53","2039127446298.55","2103587813812.75","2294797980509.01","2651472946374.91","2701111782775.03","2870504096717.77"
Indonesia,"IDN","GDP (current US$)","NY.GDP.MKTP.CD","755094160363.071","892969107923.094","917869910105.749","912524136718.018","890814755233.225","860854235065.079","931877364177.742","1015618742565.81","1042271531011.99","1119091259074.62"
"Iran, Islamic Rep.","IRN","GDP (current US$)","NY.GDP.MKTP.CD","486807615326.147","580764902917.439","598868460912.847","460293149324.326","432687036177.818","384951479697.42","417983583565.54","445345256459.105","294356680624.658","258245497664.394"
Iraq,"IRQ","GDP (current US$)","NY.GDP.MKTP.CD","138516722649.573","185749664444.444","218002481737.691","234637675128.645","228415656174.957","166774109673.732","166602488747.885","187217660050.676","227367469034.031","235097182233.503"
Ireland,"IRL","GDP (current US$)","NY.GDP.MKTP.CD","221659742984.75","238662833333.918","225509709550.982","238211547205.677","258625192663.58","291462799328.949","298725229419.215","334602299873.029","384853685231.018","399122063504.148"
Isle of Man,"IMN","GDP (current US$)","NY.GDP.MKTP.CD","5920177688.50433","6566098381.6696","6690725118.48341","7000748788.49461","7708834951.45631","7085288006.11154","6846691871.45558","6979581724.58172","7491969312.87525","7315388052.08067"
Israel,"ISR","GDP (current US$)","NY.GDP.MKTP.CD","234654589559.973","262293871093.061","258417104163.53","294167366504.266","310944937638.436","300078278118.434","319024417316.889","355277223507.485","373641241440.789","397934596952.56"
Italy,"ITA","GDP (current US$)","NY.GDP.MKTP.CD","2134017843247.16","2291991045770.29","2087077032435.15","2141315327318.21","2159133919743.77","1835899237320.04","1875797463583.87","1956950469673.29","2090910879119.33","2009383867307.45"
Jamaica,"JAM","GDP (current US$)","NY.GDP.MKTP.CD","13220556882.7046","14444655299.8772","14807086889.2099","14264202737.3082","13899228824.2161","14188935947.5694","14077109396.8584","14808989993.3185","15730793852.7913","15830768549.8916"
Japan,"JPN","GDP (current US$)","NY.GDP.MKTP.CD","5759071769013.11","6233147172341.35","6272362996105.03","5212328181166.18","4896994405353.29","4444930651964.18","5003677627544.24","4930837369151.42","5036891740656.35","5148781948478.17"
Jordan,"JOR","GDP (current US$)","NY.GDP.MKTP.CD","27133804225.3521","29524149154.9296","31634561690.1408","34454440140.8451","36847643521.1268","38587017887.3239","39892551126.7606","41408960845.0704","42932112676.0563","44502895915.493"
Kazakhstan,"KAZ","GDP (current US$)","NY.GDP.MKTP.CD","148047348240.643","192626507971.584","207998568865.789","236634552078.102","221415572819.5","184388432148.715","137278320084.171","166805800595.704","179339994859.384","181667190075.541"
Kenya,"KEN","GDP (current US$)","NY.GDP.MKTP.CD","45405587556.7313","46869457318.2541","56396706005.9435","61671425370.0235","68285768554.472","70120413328.7838","74815121314.9381","82035800868.187","92202956320.532","100555485831.944"
Kiribati,"KIR","GDP (current US$)","NY.GDP.MKTP.CD","156120439.254831","181705153.610056","190243432.813514","185114059.61905","179703165.412383","171117816.66613","178328984.096884","187276124.790591","200157020.642498","188391770.636764"
"Korea, Dem. People's Rep.","PRK","GDP (current US$)","NY.GDP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Korea, Rep.","KOR","GDP (current US$)","NY.GDP.MKTP.CD","1144066965324.49","1253223044718.99","1278427634342.59","1370795199976.18","1484318219633.63","1465773245547.15","1500111596236.37","1623901496835.79","1724845615629.26","1651422932447.77"
Kosovo,"XKX","GDP (current US$)","NY.GDP.MKTP.CD","5344014317.91065","6341737193.76392","6163785172.81254","6735731172.79851","7074657898.23303","6295820481.52668","6682832632.27806","7180813375.50836","7878508502.59802","7899879086.43081"
Kuwait,"KWT","GDP (current US$)","NY.GDP.MKTP.CD","115419399860.433","154068115942.029","174070382279.385","174161142454.161","162631412508.784","114567298105.683","109419728566.7","120707435542.367","138182400331.126","136196760210.804"
Kyrgyz Republic,"KGZ","GDP (current US$)","NY.GDP.MKTP.CD","4794357795.07139","6197766118.59856","6605139933.41063","7335027591.91628","7468096566.71158","6678178340.45121","6813092065.83507","7702934800.12836","8271108638.39931","8871026074.19762"
